	city	clouds	country	humidity	lat	temp	wind
494	Dunedin	12	NZ	89	-45.87	43.538	7.17
495	Bilibino	8	RU	74	68.06	38.678	1.77
496	Angoche	0	MZ	100	-16.23	76.208	5.02
497	Sistranda	75	NO	81	63.73	51.8	5.7
498	Dongsheng	32	CN	68	29.72	83.94800000000001	6.12
499	San Pedro	0	AR	49	-33.68	55.148	2.17
500	Cayenne	76	GF	62	4.94	86.0	3.6
501	Aconibe	48	GQ	97	1.29	70.628	1.32
502	Labuhan	92	ID	98	-2.54	71.708	0.97
503	Yako	36	BF	59	12.96	83.31800000000001	1.87
504	Bainbridge	75	US	41	30.9	95.0	1.5
505	Sao Filipe	36	CV	93	14.9	74.94800000000001	6.52
506	Marinilla	40	CO	46	6.18	84.2	4.1
507	Tawang	8	BT	93	27.59	49.838	0.67
508	Marystown	92	CA	100	47.17	39.218	14.22
509	Gitarama	20	RW	56	-2.07	69.8	1.5
510	Kapuskasing	75	CA	26	49.42	78.8	5.1
511	Naze	92	NG	96	5.43	74.768	3.02
512	Honningsvag	20	NO	70	70.98	50.0	12.9
513	Klyuchi	8	RU	91	52.25	59.198	1.27
514	Kuryk	0	KZ	46	43.18	77.648	2.52
515	Kadaya	12	RU	96	50.93	57.128	3.57
516	Zhezkazgan	0	KZ	70	47.8	57.30800000000001	4.07
517	New Ross	36	IE	64	52.4	65.138	1.07
518	Mehran	0	IR	20	33.12	77.0	3.1
519	Los Llanos de Aridane	20	ES	78	28.66	71.6	5.1
520	Corinto	0	BR	70	-18.36	70.718	0.92
521	Anloga	20	GH	83	5.79	78.8	5.1
522	Ranong	64	TH	100	9.96	80.61800000000001	3.02
523	Portree	0	GB	77	57.41	59.648	1.07
524	Adrar	0	DZ	8	27.87	104.0	2.6
525	Belyy Yar	0	RU	82	53.6	66.2	1.0
526	Matara	40	PE	54	-13.74	57.2	1.07
527	Lhokseumawe	68	ID	100	5.18	82.77799999999999	2.77
528	Formosa	0	AR	55	-26.19	66.2	3.6
529	Buseresere	24	TZ	62	-3.01	62.438	1.92
530	Iberia	0	PE	55	-11.41	87.008	1.22
531	Egvekinot	36	RU	73	66.32	43.718	2.22
532	Kungurtug	0	RU	66	50.6	46.598	1.92
533	Soanierana Ivongo	92	MG	100	-16.92	72.518	6.62
534	Saint-Pierre	0	FR	52	48.95	71.6	5.1
535	Marsa Matruh	0	EG	58	31.35	82.4	7.7
536	Padang	56	ID	100	-0.92	80.888	4.52
537	Kamenka	32	RU	51	53.19	74.94800000000001	5.27
538	Brae	88	GB	82	60.4	57.2	0.5
539	Ribeiropolis	40	BR	74	-10.54	78.8	3.1
540	San Policarpo	24	PH	100	12.18	77.018	1.22
541	Northam	0	GB	49	51.04	77.0	2.6
542	Bandar-e Lengeh	20	IR	100	26.56	86.018	4.32
543	Mildura	80	AU	96	-34.18	40.118	1.42
544	Kloulklubed	40	PW	94	7.04	80.6	3.6
545	Aksha	0	RU	89	50.28	54.608000000000004	3.47
546	Mangotsfield	0	GB	36	51.49	78.8	3.6
547	Perth	40	GB	87	56.4	55.4	5.1
